time,a_hip_pos,a_hub_vel,a_hub_mode,b_hip_pos,b_hub_vel,b_hub_mode,c_hip_pos,c_hub_vel,c_hub_mode,d_hip_pos,d_hub_vel,d_hub_mode
0,0,0,5,0,0,5,0,0,0,0,0,0
5,10,0,5,10,0,5,-35.2,0,0,-35.2,0,0
6,10,0,5,10,0,5,-35.2,0,5,-35.2,0,5
16,10,0,0,303.5,0,0,-35.2,0,5,-35.2,0,5
21,303.5,0,0,303.5,0,0,-35.2,0,5,-35.2,0,5
22,303.5,0,5,303.5,0,5,-35.2,0,5,-35.2,0,5
27,370,0,5,370,0,5,10,0,0,10,0,0
28,370,0,5,370,0,5,10,0,5,10,0,5
31.4,370,200,5,370,200,5,10,200,5,10,200,5
32.4,370,0,5,370,0,5,10,0,5,10,0,5
37.4,337,0,0,337,0,0,43,-95,5,43,-95,5
38.4,337,0,5,337,0,5,43,0,5,43,0,5
40.9,337,0,5,337,0,5,43,0,0,304,0,0
43.4,337,0,5,337,0,5,304,0,0,304,0,0
44.4,337,0,5,337,0,5,304,0,5,304,0,5
49.4,360,0,0,360,0,0,360,-10,5,360,-10,5
50.4,360,0,5,360,0,5,360,0,5,360,0,5
53.4,360,0,5,360,0,5,360,0,5,360,0,5
